,profile_pic,rel_num_numeric_char_username,words_fullname,rel_num_numeric_char_fullname,name=username,description_length,has_external_url,is_private,num_posts,num_followers,num_follows,is_fake
0,yes,0.27,0,0.0,no,53,no,no,32,1000,955,no
1,yes,0.0,2,0.0,no,44,no,no,286,2740,533,no
2,yes,0.1,2,0.0,no,0,no,yes,13,159,98,no
3,yes,0.0,1,0.0,no,82,no,no,679,414,651,no
4,yes,0.0,2,0.0,no,0,no,yes,6,151,126,no
5,yes,0.0,4,0.0,no,81,yes,no,344,669987,150,no
6,yes,0.0,2,0.0,no,50,no,no,16,122,177,no
7,yes,0.0,2,0.0,no,0,no,no,33,1078,76,no
8,yes,0.0,0,0.0,no,71,no,no,72,1824,2713,no
9,yes,0.0,2,0.0,no,40,yes,no,213,12945,813,no
10,yes,0.0,2,0.0,no,54,no,no,648,9884,1173,no
11,yes,0.0,2,0.0,no,54,yes,no,76,1188,365,no
12,yes,0.0,2,0.0,no,0,yes,no,298,945,583,no
13,yes,0.0,2,0.0,no,103,yes,no,117,12033,248,no
14,yes,0.0,2,0.0,no,98,yes,no,487,1962,2701,no
15,yes,0.0,3,0.0,no,46,no,no,254,50374,900,no
16,yes,0.0,3,0.0,no,0,no,no,59,7007,289,no
17,yes,0.29,3,0.0,no,48,no,no,1570,,694,no
18,yes,0.0,2,0.0,no,63,yes,no,378,34670,1878,no
19,yes,0.0,2,0.0,no,106,yes,no,526,2338,776,no
20,yes,0.0,2,0.0,no,40,no,no,228,3516,999,no
21,yes,0.0,1,0.0,no,35,yes,yes,35,1809,416,no
22,yes,0.0,2,0.0,no,30,no,no,281,427,470,no
23,yes,0.0,1,0.0,no,27,no,no,285,759,956,no
24,yes,0.0,0,0.0,no,0,no,no,148,15338538,61,no
25,yes,0.0,1,0.0,no,109,yes,yes,57,109,179,no
26,yes,0.0,6,0.0,no,0,no,yes,17,536,665,no
27,yes,0.0,2,0.0,no,132,yes,no,511,121354,176,no
28,yes,0.0,2,0.0,no,126,yes,no,230,2284,130,no
29,yes,0.0,2,0.0,no,122,no,yes,15,,174,no
30,yes,0.0,2,0.0,no,138,no,yes,980,687,1517,no
31,yes,0.13,0,0.0,no,0,no,yes,53,966,952,no
32,yes,0.0,2,0.0,no,50,no,yes,111,177,170,no
33,yes,0.0,2,0.0,no,35,no,no,719,744,967,no
34,yes,0.0,2,0.0,no,56,yes,no,1164,542073,674,no
35,yes,0.18,2,0.0,no,9,no,no,497,5315651,2703,no
36,yes,0.33,0,0.0,no,0,no,yes,18,267,328,no
37,yes,0.0,2,0.0,no,81,no,no,50,691,680,no
38,yes,0.0,2,0.0,no,134,no,yes,74,120,112,no
39,yes,0.0,2,0.0,no,0,no,no,8,105,98,no
40,yes,0.0,0,0.0,no,2,no,no,7389,890969,11,no
41,yes,0.0,2,0.0,no,0,yes,no,420,361853,583,no
42,yes,0.0,2,0.0,no,23,no,no,433,,1359,no
43,yes,0.0,2,0.0,no,138,yes,no,156,92192,16,no
44,yes,0.0,4,0.0,no,35,no,no,4494,12397719,8,no
45,yes,0.0,3,0.0,no,93,no,no,751,380510,0,no
46,yes,0.0,2,0.0,no,4,no,yes,4,132,183,no
47,yes,0.0,2,0.0,no,1,no,yes,27,162,208,no
48,yes,0.0,1,0.0,no,4,no,no,91,369,546,no
49,yes,0.0,0,0.0,no,23,no,no,262,1476,666,no
50,yes,0.0,3,0.0,no,91,yes,no,274,1798,461,no
51,yes,0.0,2,0.0,no,57,no,no,271,2118,1109,no
52,yes,0.0,1,0.0,no,108,yes,no,713,812,432,no
53,yes,0.0,2,0.12,no,30,yes,no,200,7217,761,no
54,yes,0.0,0,0.0,no,82,no,no,12,,376,no
55,yes,0.12,1,0.0,no,12,yes,no,26,64,261,no
56,yes,0.0,2,0.0,no,54,no,no,75,1759,643,no
57,yes,0.0,1,0.0,no,0,no,yes,94,404,283,no
58,yes,0.0,1,0.0,no,12,no,no,63,1843,598,no
59,yes,0.12,2,0.0,no,0,no,no,69,320377,228,no
60,yes,0.0,1,0.0,no,3,no,no,12,108,97,no
61,yes,0.0,1,0.0,no,39,yes,no,63,384,447,no
62,yes,0.19,2,0.0,no,0,no,no,19,60,100,no
63,yes,0.0,1,0.0,no,68,yes,no,100,802,151,no
64,yes,0.0,2,0.0,no,129,yes,no,661,51145,528,no
65,yes,0.0,2,0.0,no,57,yes,no,149,1582,1882,no
66,yes,0.0,2,0.0,no,64,no,no,22,,266,no
67,yes,0.0,1,0.0,no,42,no,no,400,18842,744,no
68,yes,0.0,2,0.0,no,71,yes,no,149,10240,1255,no
69,yes,0.0,3,0.0,no,0,no,no,122,539,639,no
70,yes,0.33,2,0.0,no,70,no,no,74,399,452,no
71,yes,0.0,1,0.0,no,74,no,no,13,581,568,no
72,yes,0.0,1,0.0,no,8,no,yes,8,166,163,no
73,yes,0.0,2,0.0,no,35,no,no,77,417,362,no
74,yes,0.2,2,0.0,no,0,no,yes,5,266,324,no
75,yes,0.0,1,0.0,no,0,no,yes,3,33,37,no
76,yes,0.0,2,0.0,no,28,no,yes,106,494,998,no
77,yes,0.0,2,0.0,no,18,no,yes,14,178,245,no
78,yes,0.0,3,0.0,no,28,no,no,172,,288,no
79,yes,0.33,1,0.0,no,36,no,no,111,807,675,no
80,yes,0.0,2,0.0,no,2,no,no,38,162,256,no
81,yes,0.06,2,0.0,no,11,no,yes,19,417,395,no
82,yes,0.0,3,0.0,no,70,yes,no,227,17303,360,no
83,yes,0.0,2,0.0,no,29,no,no,221,1439,629,no
84,yes,0.0,2,0.0,no,24,yes,no,580,91446,526,no
85,yes,0.0,3,0.0,no,21,yes,no,40,824,489,no
86,yes,0.0,1,0.0,no,81,no,no,101,741,1440,no
87,yes,0.0,1,0.0,no,34,yes,yes,157,1267,899,no
88,yes,0.0,0,0.0,no,40,no,no,197,4594,1713,no
89,yes,0.0,1,0.0,no,12,no,no,61,1135,899,no
90,yes,0.0,2,0.0,no,0,no,yes,698,1926,1410,no
91,yes,0.0,2,0.0,no,59,no,yes,49,1068,1925,no
92,yes,0.0,1,0.0,no,15,no,yes,85,815,748,no
93,yes,0.0,2,0.0,no,54,no,no,77,565,469,no
94,yes,0.0,1,0.0,no,16,no,no,58,2556,1074,no
95,yes,0.0,2,0.0,no,73,no,yes,232,1312,935,no
96,yes,0.0,1,0.0,no,24,no,no,20,699,599,no
97,yes,0.0,0,0.0,no,0,no,no,98,4328,418,no
98,yes,0.0,0,0.0,no,26,yes,no,559,2487,999,no
99,yes,0.0,3,0.0,no,0,no,no,189,673,438,no
100,yes,0.0,2,0.0,no,0,no,yes,388,730,413,no
101,yes,0.0,0,0.0,no,0,no,yes,28,59,55,no
102,yes,0.0,3,0.0,no,0,no,yes,156,,222,no
103,yes,0.0,1,0.0,no,28,no,yes,6,19,20,no
104,yes,0.0,2,0.0,no,55,yes,no,69,3551,173,no
105,yes,0.0,1,0.0,no,140,yes,no,775,19512,591,no
106,yes,0.0,0,0.0,no,122,yes,no,205,2756,638,no
107,yes,0.0,2,0.0,no,113,yes,no,209,5406,589,no
108,yes,0.0,2,0.0,no,38,no,yes,334,459,390,no
109,yes,0.0,2,0.0,no,0,no,no,9,218,75,no
110,yes,0.0,2,0.0,no,23,no,no,6,796,1155,no
111,yes,0.0,1,0.0,no,0,no,no,416,1113,1854,no
112,yes,0.2,1,0.0,no,89,no,yes,13,138,208,no
113,yes,0.44,1,0.0,no,30,no,yes,33,205,164,no
114,yes,0.0,1,0.0,no,0,no,no,1,331,333,no
115,yes,0.1,1,0.1,no,0,no,no,711,748,4659,no
116,yes,0.0,1,0.0,no,0,no,no,114,490,1093,no
117,yes,0.0,1,0.08,no,12,no,yes,16,456,413,no
118,yes,0.0,0,0.0,no,123,yes,no,107,971,2047,no
119,yes,0.24,1,0.24,no,0,no,no,5,497,438,no
120,yes,0.14,2,0.0,no,0,no,yes,7,,132,no
121,yes,0.0,0,0.0,no,0,no,yes,21,193,413,no
122,yes,0.0,2,0.0,no,40,no,no,65,492,689,no
123,yes,0.29,2,0.0,no,0,no,no,10,167,164,no
124,yes,0.0,2,0.0,no,33,no,yes,59,99,178,no
125,yes,0.0,0,0.0,no,0,no,yes,137,916,1142,no
126,yes,0.0,2,0.0,no,5,no,yes,10,196,209,no
127,yes,0.0,1,0.0,no,0,no,yes,571,765,424,no
128,yes,0.18,2,0.0,no,23,no,yes,24,,80,no
129,yes,0.0,1,0.0,no,35,yes,no,328,634,719,no
130,yes,0.0,4,0.0,no,150,yes,no,161,1383,7500,no
131,yes,0.0,1,0.0,no,26,no,yes,280,650,703,no
132,yes,0.0,2,0.0,no,149,no,yes,92,484,3296,no
133,yes,0.0,3,0.0,no,129,no,no,31,200,270,no
134,yes,0.0,2,0.0,no,0,no,no,0,192,65,no
135,yes,0.0,0,0.0,no,18,no,yes,25,553,610,no
136,yes,0.0,2,0.0,no,74,yes,no,921,27477,7202,no
137,yes,0.0,2,0.0,no,0,yes,yes,1020,464,1039,no
138,yes,0.0,1,0.0,no,59,no,no,301,1057,524,no
139,yes,0.0,3,0.0,no,148,no,no,9,413,138,no
140,yes,0.0,0,0.0,no,0,yes,no,158,389,806,no
141,yes,0.29,1,0.0,no,15,no,no,43,,503,no
142,yes,0.0,12,0.0,no,46,no,yes,24,941,1208,no
143,yes,0.0,2,0.0,no,5,no,yes,60,2598,802,no
144,yes,0.0,1,0.0,no,98,no,no,4,59,111,no
145,yes,0.0,2,0.0,no,55,no,no,220,622,475,no
146,yes,0.0,2,0.0,no,19,yes,no,1159,2719,1061,no
147,yes,0.36,5,0.0,no,71,no,no,8,216,305,no
148,yes,0.22,2,0.0,no,133,no,no,396,881,375,no
149,yes,0.08,2,0.0,no,150,yes,no,38,870,72,no
150,yes,0.0,2,0.0,no,43,no,yes,1,265,371,no
151,yes,0.15,2,0.0,no,37,no,yes,2,1204,633,no
152,yes,0.0,1,0.0,no,35,no,yes,43,655,1016,no
153,yes,0.0,2,0.0,no,87,no,no,131,1662,1065,no
154,yes,0.14,2,0.0,no,59,no,no,7,14222,7399,no
155,yes,0.0,2,0.0,no,0,no,no,57,483,1216,no
156,yes,0.0,3,0.0,no,0,no,no,36,1204,2928,no
157,yes,0.0,2,0.0,no,9,no,yes,91,408,635,no
158,yes,0.0,2,0.0,no,12,no,yes,8,303,417,no
159,yes,0.1,0,0.0,no,0,no,no,11,125,101,no
160,yes,0.09,1,0.0,no,0,no,no,252,229,383,no
161,yes,0.15,3,0.0,no,95,yes,yes,15,357,489,no
162,yes,0.0,1,0.0,no,0,no,no,74,137,96,no
163,yes,0.0,2,0.0,no,46,no,yes,83,255,535,no
164,yes,0.0,3,0.0,no,123,no,yes,126,87,399,no
165,yes,0.0,6,0.0,no,117,yes,no,663,326946,3,no
166,yes,0.0,1,0.0,no,26,no,yes,0,114,446,no
167,yes,0.0,0,0.0,no,0,no,yes,10,167,387,no
168,yes,0.0,2,0.0,no,58,no,yes,8,1247,1196,no
169,yes,0.0,1,0.0,no,0,no,no,24,585,1364,no
170,yes,0.0,1,0.0,no,30,no,yes,65,135,232,no
171,yes,0.0,3,0.0,no,62,yes,no,64,722,261,no
172,yes,0.45,1,0.25,no,137,yes,no,664,714,1159,no
173,yes,0.0,2,0.0,no,149,yes,no,130,39867,4664,no
174,no,0.0,0,0.0,no,14,no,yes,131,,1060,no
175,yes,0.0,2,0.0,no,19,no,yes,917,1158,3932,no
176,yes,0.0,10,0.0,no,131,yes,no,2,45834,280,no
177,yes,0.0,2,0.0,no,0,no,no,142,876,529,no
178,yes,0.09,5,0.0,no,5,no,no,165,3003,455,no
179,yes,0.09,2,0.0,no,0,no,no,80,1298,407,no
180,yes,0.0,2,0.0,no,11,no,yes,32,3800,278,no
181,yes,0.0,2,0.0,no,0,no,yes,81,1358,127,no
182,yes,0.0,2,0.0,no,27,yes,no,334,6741307,111,no
183,yes,0.38,2,0.0,no,10,yes,no,8,791,456,no
184,yes,0.0,2,0.0,no,72,yes,no,373,732075,363,no
185,yes,0.0,2,0.0,no,3,no,yes,56,373,360,no
186,yes,0.0,3,0.0,no,51,no,yes,7,162,311,no
187,yes,0.0,1,0.0,no,44,no,yes,12,309,364,no
188,yes,0.0,2,0.0,no,0,no,no,5,135,176,no
189,yes,0.0,2,0.0,no,73,yes,no,77,244,172,no
190,yes,0.18,1,0.0,no,70,no,yes,93,,149,no
191,yes,0.0,2,0.0,no,35,no,no,192,984,76,no
192,yes,0.0,2,0.0,no,13,no,yes,8,751,1223,no
193,yes,0.0,4,0.25,no,105,no,yes,145,781,529,no
194,yes,0.0,1,0.33,no,91,no,no,135,1761,905,no
195,yes,0.14,2,0.0,no,0,no,yes,18,318,523,no
196,yes,0.0,2,0.0,no,48,no,no,222,5282,652,no
197,yes,0.0,2,0.0,no,48,no,no,222,5282,652,no
198,yes,0.0,2,0.0,no,126,yes,yes,5,228,238,no
199,yes,0.0,2,0.0,no,0,yes,yes,119,393,502,no
200,yes,0.0,2,0.0,no,53,no,no,201,875,754,no
201,yes,0.0,0,0.0,no,8,no,yes,12,,373,no
202,yes,0.0,1,0.0,no,67,no,no,301,3896490,351,no
203,yes,0.0,1,0.0,no,20,no,no,20,106,133,no
204,yes,0.08,2,0.0,no,26,yes,no,112,206,32,no
205,yes,0.0,0,0.0,no,86,no,yes,54,259,1371,no
206,yes,0.0,1,0.0,no,51,no,yes,98,1013,996,no
207,yes,0.11,4,0.0,no,26,yes,no,16,738,544,no
208,yes,0.0,0,0.0,no,18,no,yes,133,1008,517,no
209,yes,0.0,2,0.0,no,96,yes,no,142,2441,396,no
210,yes,0.0,2,0.0,no,17,no,no,63,416,292,no
211,yes,0.0,2,0.0,no,0,no,yes,70,516,463,no
212,yes,0.0,2,0.0,no,62,yes,no,403,8711,345,no
213,yes,0.0,2,0.0,no,86,no,no,15,433,584,no
214,yes,0.0,2,0.0,no,148,yes,no,990,18515,1000,no
215,yes,0.0,2,0.0,no,1,no,yes,12,70,67,no
216,yes,0.22,3,0.0,no,39,no,no,26,5863,157,no
217,yes,0.36,2,0.0,no,35,no,no,2,1677,716,no
218,yes,0.0,0,0.0,no,103,no,no,24,617,272,no
219,yes,0.0,2,0.0,no,0,yes,no,411,31182,414,no
220,yes,0.0,2,0.0,no,61,no,yes,217,1152,292,no
221,yes,0.15,1,0.0,no,44,no,no,156,8578,164,no
222,yes,0.0,1,0.0,no,0,no,no,389,4347,748,no
223,yes,0.0,1,0.0,no,0,no,yes,8,319,335,no
224,yes,0.0,1,0.0,no,0,no,yes,3,189,177,no
225,yes,0.0,1,0.0,no,112,no,yes,22,743,331,no
226,yes,0.18,1,0.0,no,123,no,no,59,11204,124,no
227,yes,0.0,3,0.0,no,24,no,yes,144,419,271,no
228,yes,0.0,2,0.0,no,34,no,no,2,81,268,no
229,yes,0.0,1,0.0,no,19,no,no,78,947,582,no
230,yes,0.0,2,0.0,no,0,no,no,28,206,333,no
231,yes,0.0,2,0.0,no,42,no,no,111,541,701,no
232,yes,0.18,3,0.0,no,50,no,no,6,392,237,no
233,yes,0.22,5,0.0,no,67,no,no,4,4177,3678,no
234,yes,0.17,2,0.0,no,134,yes,no,31,265,321,no
235,yes,0.0,2,0.0,no,101,no,no,86,272,1486,no
236,yes,0.0,2,0.0,no,0,no,no,240,425,917,no
237,yes,0.0,3,0.0,no,0,no,yes,11,150,178,no
238,yes,0.0,2,0.0,no,17,no,yes,44,711,673,no
239,yes,0.0,2,0.0,no,0,no,yes,9,89,121,no
240,yes,0.0,2,0.0,no,32,no,yes,62,742,653,no
241,yes,0.0,2,0.0,no,0,no,no,0,96,50,no
242,yes,0.0,1,0.0,yes,80,yes,yes,15,77,107,no
243,yes,0.0,2,0.0,no,2,no,yes,53,195,395,no
244,yes,0.0,2,0.0,no,0,no,yes,2,9,13,no
245,yes,0.0,1,0.0,no,146,yes,no,52,10794,3164,no
246,yes,0.19,0,0.0,no,0,no,no,1,104,15,no
247,yes,0.0,0,0.0,no,0,yes,yes,62,318,569,no
248,yes,0.18,1,0.0,no,0,no,no,247,355,137,no
249,yes,0.31,1,0.0,no,0,no,yes,9,99,488,no
250,yes,0.0,0,0.0,no,6,no,no,13,300,372,no
251,yes,0.15,1,0.0,no,0,no,no,204,139,61,no
252,yes,0.0,2,0.0,no,0,no,yes,0,13,77,no
253,yes,0.22,1,0.14,no,0,no,yes,51,606,430,no
254,yes,0.0,1,0.0,no,64,no,no,15,428,333,no
255,yes,0.0,1,0.0,no,0,no,no,108,494,545,no
256,yes,0.24,0,0.0,no,0,no,yes,353,1261,2187,no
257,yes,0.0,1,0.0,no,0,no,yes,5,68,87,no
258,yes,0.0,2,0.0,no,49,yes,no,560,205558,53,no
259,yes,0.0,2,0.0,no,23,no,no,85,668,609,no
260,yes,0.0,2,0.0,no,120,yes,no,95,1456,555,no
261,yes,0.14,2,0.0,no,34,no,no,14,,387,no
262,yes,0.0,3,0.0,no,25,no,yes,52,298,555,no
263,yes,0.0,2,0.0,no,0,no,yes,7,254,345,no
264,yes,0.0,2,0.0,no,12,no,no,197,1070,1072,no
265,yes,0.17,2,0.0,no,0,no,yes,89,1167,618,no
266,yes,0.0,2,0.0,no,9,no,yes,34,335,300,no
267,yes,0.08,2,0.0,no,1,no,no,283,346,426,no
268,yes,0.0,2,0.0,no,18,no,yes,65,1746,1631,no
269,yes,0.0,2,0.0,no,34,no,yes,126,268,370,no
270,yes,0.0,3,0.0,no,23,no,yes,327,537,1002,no
271,yes,0.0,1,0.0,no,19,no,yes,42,805,488,no
272,yes,0.0,2,0.0,no,139,no,no,36,1504,52,no
273,yes,0.0,2,0.0,no,13,no,yes,3,104,119,no
274,yes,0.0,2,0.0,no,50,no,no,53,380,462,no
275,yes,0.0,3,0.0,no,46,yes,yes,7,257,346,no
276,yes,0.0,1,0.0,no,30,no,yes,103,1775,7500,no
